year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,109359.53,7746.79,169173.08,77323.68
2018,109433.47,7748.12,169173.08,77323.68
2019,109433.47,7749.56,169173.08,77323.68
2020,109433.47,7750.69,169173.08,77323.68
2021,109433.47,7750.85,169173.08,77323.68
2022,109507.41,7751.9,169173.08,77323.68
2023,109507.41,7753.21,169173.08,78021.01
2024,109581.35,7753.74,169173.08,78021.01
2025,109581.35,7754.63,169173.08,78021.01
2026,109581.35,7755.17,169173.08,78021.01
2027,109581.35,7755.18,169173.08,78021.01
2028,109581.35,7755.23,169173.08,78021.01
2029,109655.29,7756.58,169173.08,78021.01
2030,109655.29,7757.65,169173.08,78021.01
2031,109655.29,7758.5,169173.08,78718.34
2032,109655.29,7758.61,169173.08,78718.34
2033,109655.29,7758.62,169173.08,78718.34
2034,109729.23,7761.0,169173.08,78718.34
2035,109877.12,7766.2,169173.08,79415.67
2036,109803.17,7764.63,169173.08,79415.67
2037,109877.12,7767.33,169173.08,79415.67
2038,109951.06,7768.93,169173.08,79415.67
2039,110025.0,7771.89,169173.08,80113.0
2040,109951.06,7769.97,169173.08,79415.67
