year,Base case cost,"New stuyahok wind-feasibility analysis, resources assessment & conceptual design",Modeled wind power
2019,424601.851078,613227.979196,599219.3078
2020,445394.209764,623781.312134,609355.153012
2021,460714.895113,630192.94132,615480.292027
2022,471976.929791,633633.45043,618738.744211
2023,478547.374289,633466.846462,618494.563853
2024,485445.379773,633752.049745,618700.266528
2025,493116.074261,634691.964107,619532.188426
2026,501882.582248,636606.870248,621310.654292
2027,509553.276736,637780.988457,622373.152892
2028,516128.157727,638211.606775,622717.014266
2029,524152.292736,639962.519724,624352.848489
2030,529635.057305,639758.453204,624085.259715
2031,538407.480614,642231.34942,626413.1656
2032,548276.456837,645664.260442,629672.88188
2033,557048.880146,648340.29615,632200.781207
2034,567300.134088,652353.86331,636038.081312
2035,574657.316482,654287.011445,637873.318229
2036,583054.856227,656875.364994,640309.08747
2037,590040.112717,658621.341518,641954.291462
2038,600332.773916,663045.928397,646196.887047
