year,Base case cost,Modeled biomass for heat (cordwood)
2017,2235201.39678,2405509.91965
2018,2409720.75678,2534552.12668
2019,2652108.75678,2713777.41423
2020,2763607.23678,2796221.0465
2021,2846019.15678,2857157.64427
2022,2904192.27678,2900171.71328
2023,2942974.35678,2928847.75929
2024,2976908.67678,2953939.29954
2025,3015690.75678,2982615.34555
2026,3064168.35678,3018460.40306
2027,3107798.19678,3050720.95482
2028,3141732.51678,3075812.49507
2029,3185362.35678,3108073.04683
2030,3214448.91678,3129580.08134
2031,3262926.51678,3165425.13885
2032,,
2033,,
2034,,
2035,,
2036,,
