year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,484776.0,358450.575091
2018,484776.0,358450.575091
2019,484776.0,358450.575091
2020,484776.0,358450.575091
2021,484776.0,358450.575091
2022,484776.0,358450.575091
2023,484776.0,358450.575091
2024,484776.0,358450.575091
2025,484776.0,358450.575091
2026,484776.0,358450.575091
2027,484776.0,358450.575091
2028,484776.0,358450.575091
2029,484776.0,358450.575091
2030,484776.0,358450.575091
2031,484776.0,358450.575091
2032,,
2033,,
2034,,
2035,,
2036,,
