year,Base case diesel consumed,Galena (kalakaket creek)
2021,443896.936831,390583.260412
2022,443896.936831,390583.260412
2023,443896.936831,390583.260412
2024,443896.936831,390583.260412
2025,443896.936831,390583.260412
2026,443971.990621,390658.314202
2027,444047.044412,390733.367993
2028,444272.205783,390958.529364
2029,444347.259573,391033.583154
2030,444347.259573,391033.583154
2031,444422.313363,391108.636944
2032,444497.367154,391183.690735
2033,444497.367154,391183.690735
2034,444572.420944,391258.744525
2035,444572.420944,391258.744525
2036,444572.420944,391258.744525
2037,444497.367154,391183.690735
2038,444422.313363,391108.636944
2039,444422.313363,391108.636944
2040,444347.259573,391033.583154
2041,444272.205783,390958.529364
2042,444197.151992,390883.475573
2043,444047.044412,390733.367993
2044,443896.936831,390583.260412
2045,443746.82925,390433.152831
2046,443521.667879,390207.99146
2047,443371.560298,390057.883879
2048,443146.398927,389832.722508
2049,442921.237556,389607.561137
2050,442621.022395,389307.345976
