year,Base case cost,Modeled diesel efficiency
2019,152149.062325,305700.731093
2020,162642.101106,311316.808795
2021,170511.880192,314640.051337
2022,175758.399583,315668.303796
2023,179955.615095,315830.330784
2024,183103.52673,315124.076757
2025,186776.090303,314978.403867
2026,192022.609693,316345.264891
2027,195695.173267,316361.007777
2028,198843.084901,315977.675849
2029,203564.952353,317101.269398
2030,206188.212048,316391.311288
2031,210910.079499,317661.711518
2032,214030.179481,317546.792449
2033,215004.993722,315550.786336
2034,216825.408773,314391.059929
2035,215601.836706,310530.040722
2036,216192.526669,308382.772914
2037,214299.154375,304040.178923
2038,215404.061048,302484.730972
