year,Base case cost,Modeled non-residential energy efficiency
2017,282835.439616,335124.999076
2018,301184.946143,351125.840847
2019,327485.905498,374991.711999
2020,339718.909849,385073.746496
2021,348893.663112,392194.723566
2022,355010.165288,396353.575102
2023,359903.367028,399353.236929
2024,363573.268333,401192.690199
2025,367854.819856,403674.919081
2026,373971.322032,408001.604728
2027,378252.873555,410563.840663
2028,381922.77486,412563.352918
2029,387427.626818,416404.542069
2030,390485.877906,417877.240402
2031,395990.729864,421791.195488
