year,Base case cost,Modeled solar power (pv)
2016,92863.3932124,98614.8357639
2017,113849.470775,119169.866216
2018,129589.028946,134559.06653
2019,152149.062325,156681.949844
2020,162642.101106,166910.300151
2021,170511.880192,174556.236696
2022,175758.399583,179618.806145
2023,179955.615095,183650.109422
2024,183103.52673,186649.72634
2025,186776.090303,190170.615845
2026,192022.609693,195248.557129
2027,195695.173267,198776.564247
2028,198843.084901,201789.980666
2029,203564.952353,206360.603164
2030,206188.212048,208862.415107
2031,210910.079499,213439.619274
2032,214030.179481,216411.861106
2033,215004.993722,217248.57748
2034,216825.408773,218921.283284
2035,215601.836706,217584.95305
