year,Base case cost,Phonograph creek (pelican),Cann creek (lisianski inlet)
2021,170511.880192,1626338.16752,372395.952722
2022,175758.399583,1592513.52104,364496.786752
2023,179955.615095,1559698.2882,356829.878558
2024,183103.52673,1527874.55929,349391.034824
2025,186776.090303,1496656.74144,342096.098216
2026,192022.609693,1465782.35337,334887.694978
2027,195695.173267,1435970.93305,327922.047155
2028,198843.084901,1406960.78814,321141.965705
2029,203564.952353,1378245.20735,314436.976396
2030,206188.212048,1350667.57466,307990.2568
2031,210910.079499,1323231.104,301584.753666
2032,214030.179481,1294162.67073,293170.64276
2033,215004.993722,1264199.00052,283303.698497
2034,216825.408773,1234374.7922,273317.481205
2035,215601.836706,1205318.1436,263178.551082
2036,216192.526669,1176047.64259,252779.945578
2037,214299.154375,1147430.64508,242230.978108
2038,215404.061048,1119110.45479,232048.924246
2039,216199.558693,1092945.67325,223333.876368
2040,219100.268335,1067454.54439,215189.548841
2041,217398.518678,1044980.39315,208624.224928
2042,216547.64385,1023843.96942,203023.76575
2043,215696.769021,1003182.98931,197534.625208
2044,215271.331607,983411.745789,192579.631392
2045,215696.769021,964944.794776,188581.673965
2046,216973.081264,947771.508142,185538.264495
2047,218674.830921,931456.072099,183021.536081
2048,221227.455407,916413.78821,181454.552967
2049,224205.517306,902209.322137,180409.560508
2050,228034.454034,889258.446881,180309.733329
