year,Base case diesel consumed,Phonograph creek (pelican),Cann creek (lisianski inlet)
2021,52465.1939053,0.0,0.0
2022,52465.1939053,0.0,0.0
2023,52465.1939053,0.0,0.0
2024,52465.1939053,0.0,0.0
2025,52465.1939053,0.0,0.0
2026,52465.1939053,0.0,0.0
2027,52465.1939053,0.0,0.0
2028,52465.1939053,0.0,0.0
2029,52465.1939053,0.0,0.0
2030,52465.1939053,0.0,0.0
2031,52465.1939053,0.0,0.0
2032,51949.0726896,-516.121215695,-516.121215695
2033,51070.0697676,-1395.12413769,-1395.12413769
2034,50191.0668456,-2274.12705968,-2274.12705968
2035,49224.1636315,-3241.03027387,-3241.03027387
2036,48257.2604173,-4207.93348805,-4207.93348805
2037,47202.4569109,-5262.73699444,-5262.73699444
2038,46323.4539889,-6141.73991643,-6141.73991643
2039,45708.1519435,-6757.04196183,-6757.04196183
2040,45268.6504825,-7196.54342282,-7196.54342282
2041,44917.0493137,-7548.14459162,-7548.14459162
2042,44741.2487293,-7723.94517602,-7723.94517602
2043,44565.4481449,-7899.74576041,-7899.74576041
2044,44477.5478527,-7987.64605261,-7987.64605261
2045,44565.4481449,-7899.74576041,-7899.74576041
2046,44829.1490215,-7636.04488382,-7636.04488382
2047,45180.7501903,-7284.44371502,-7284.44371502
2048,45708.1519435,-6757.04196183,-6757.04196183
2049,46323.4539889,-6141.73991643,-6141.73991643
2050,47114.5566187,-5350.63728664,-5350.63728664
