year,Base case diesel consumed,Modeled wind power
2019,271633.707062,210360.456433
2020,269843.719064,208570.468434
2021,270485.048193,209211.797564
2022,270892.789863,209619.539233
2023,270598.091112,209324.840482
2024,270825.685285,209552.434656
2025,270915.367807,209642.117177
2026,270851.304261,209578.053632
2027,270887.982294,209614.731664
2028,270884.884787,209611.634158
2029,270874.723781,209601.473151
2030,270882.530287,209609.279658
2031,270880.712952,209607.462322
2032,270807.732813,209534.482183
2033,270809.265666,209536.015036
2034,270737.117774,209463.867145
2035,270665.38954,209392.13891
2036,270594.078606,209320.827977
2037,270522.349586,209249.098957
2038,270450.76019,209177.509561
