year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,7735.48651247,5028.0662331
2018,7739.49939882,5030.67460924
2019,7743.81810345,5033.48176724
2020,7748.94980422,5036.81737274
2021,7752.36266055,5039.03572936
2022,7756.62225291,5041.80446439
2023,7758.36134128,5042.93487183
2024,7761.09913009,5044.71443456
2025,7762.88464454,5045.87501895
2026,7763.46524039,5046.25240625
2027,7763.87389782,5046.51803358
2028,7764.41589525,5046.87033191
2029,7763.73974805,5046.43083623
2030,7763.45930217,5046.24854641
2031,7762.66223125,5045.73045031
