year,annotation,Average Load
2003,,388.0
2004,,619.0
2005,,613.0
2006,,596.0
2007,,609.0
2008,,542.0
2009,,509.0
2010,,454.0
2011,,418.0
2012,,449.0
2013,,422.0
2014,,403.0
2015,,403.0
2016,start of forecast,422.0
2017,,422.0
2018,,422.0
2019,,423.0
2020,,423.0
2021,,423.0
2022,,423.0
2023,,423.0
2024,,423.0
2025,,423.0
2026,,423.0
2027,,423.0
2028,,424.0
2029,,423.0
2030,,423.0
2031,,423.0
2032,,423.0
2033,,423.0
2034,,423.0
2035,,423.0
2036,,423.0
2037,,423.0
2038,,423.0
2039,,423.0
2040,,423.0
