year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,267704.96,7735.49,112758.75,158353.92
2018,269333.41,7739.5,112758.75,159602.98
2019,271633.71,7743.82,112758.75,159602.98
2020,269843.72,7748.95,112758.75,160852.04
2021,270485.05,7752.36,112758.75,160852.04
2022,270892.79,7756.62,112758.75,162101.1
2023,270598.09,7758.36,112758.75,162101.1
2024,270825.69,7761.1,112758.75,162101.1
2025,270915.37,7762.88,112758.75,163350.16
2026,270851.3,7763.47,112758.75,163350.16
2027,270887.98,7763.87,112758.75,163350.16
2028,270884.88,7764.42,112758.75,163350.16
2029,270874.72,7763.74,112758.75,163350.16
2030,270882.53,7763.46,112758.75,163350.16
2031,270880.71,7762.66,112758.75,163350.16
2032,270807.73,,,162101.1
2033,270809.27,,,162101.1
2034,270737.12,,,162101.1
2035,270665.39,,,162101.1
2036,270594.08,,,160852.04
