year,Base case cost,Modeled non-residential energy efficiency
2017,1268909.45331,1194265.84056
2018,1329115.60314,1243130.46955
2019,1412477.96445,1312140.01023
2020,1451843.52396,1343097.40487
2021,1477315.35659,1362088.39869
2022,1498155.94691,1377138.187
2023,1514365.29495,1388245.07623
2024,1525943.40068,1395407.41251
2025,1539837.12757,1404643.77787
2026,1558362.09675,1417959.32742
2027,1572255.82363,1427325.59134
2028,1583833.92937,1434747.79781
2029,1600043.2774,1446244.67503
2030,1611621.38314,1453787.85896
2031,1627830.73117,1465402.87822
