year,Base case cost,Modeled wind power
2019,1029491.74977,1286859.07194
2020,1068581.12749,1307709.48485
2021,1100874.14615,1325118.08094
2022,1126914.00583,1337532.74246
2023,1144629.9254,1342877.66952
2024,1159133.93302,1346259.98904
2025,1175772.69628,1351453.94843
2026,1197162.76484,1360548.87858
2027,1213578.16068,1365904.41548
2028,1227108.52809,1369083.20117
2029,1246023.72939,1376783.111
2030,1259603.76584,1380370.07369
2031,1278556.96513,1388458.08685
2032,1299877.1175,1398559.43131
2033,1321549.21645,1409177.68598
2034,1345563.47534,1421776.65335
2035,1358740.25549,1425785.64217
2036,1382735.74168,1438676.79284
2037,1395895.32387,1442972.25173
2038,1417161.9834,1453953.67122
