year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,124743.83,16390.59,123728.26,197311.58
2018,126161.74,16406.62,123728.26,201039.25
2019,128002.1,16423.02,123728.26,204766.92
2020,129899.39,16439.42,123728.26,208494.59
2021,131567.61,16455.48,123728.26,212222.25
2022,133319.25,16471.48,123728.26,215949.92
2023,135066.49,16487.3,123728.26,219677.59
2024,136788.85,16503.25,123728.26,222162.7
2025,138529.27,16519.13,123728.26,225890.37
2026,140265.94,16534.96,123728.26,229618.04
2027,141999.09,16550.46,123728.26,233345.7
2028,143660.37,16565.71,123728.26,237073.37
2029,145546.81,16582.96,123728.26,240801.04
2030,147357.41,16599.64,123728.26,244528.71
2031,149093.21,16615.49,123728.26,248256.37
2032,150602.33,,,250741.48
2033,152035.97,,,254469.15
2034,153469.73,,,256954.26
2035,154903.41,,,259439.38
2036,156488.02,,,263167.04
