year,Base case diesel consumed,Modeled non-residential ashp
2017,212905.066641,175786.58862
2018,216927.330641,179808.85262
2019,220949.594641,183831.11662
2020,224971.858641,187853.38062
2021,228994.122641,191875.64462
2022,233016.386641,195897.90862
2023,237038.650641,199920.17262
2024,239720.159974,202601.681953
2025,243742.423974,206623.945953
2026,247764.687974,210646.209953
2027,251786.951974,214668.473953
2028,255809.215974,218690.737953
2029,259831.479974,222713.001953
2030,263853.743974,226735.265953
2031,267876.007974,230757.529953
