year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,34973.7516826,25880.5762451
2018,34973.7516826,25880.5762451
2019,34973.7516826,25880.5762451
2020,34973.7516826,25880.5762451
2021,34973.7516826,25880.5762451
2022,34973.7516826,25880.5762451
2023,34973.7516826,25880.5762451
2024,34973.7516826,25880.5762451
2025,34973.7516826,25880.5762451
2026,34973.7516826,25880.5762451
2027,34973.7516826,25880.5762451
2028,34973.7516826,25880.5762451
2029,34973.7516826,25880.5762451
2030,34973.7516826,25880.5762451
2031,34973.7516826,25880.5762451
