year,Base case cost,American creek
2021,135350.512664,7934779.33751
2022,138471.803312,7929377.35478
2023,140741.832875,7925448.64007
2024,142728.108742,7922011.01469
2025,145433.568149,7918517.72983
2026,147995.020426,7914105.59479
2027,150721.782663,7910633.61276
2028,152434.530193,7907697.30208
2029,155929.046423,7904218.231
2030,157831.815197,7902246.7846
2031,161187.436975,7897853.97604
2032,164076.10072,7892994.20944
2033,166675.89809,7888620.4195
2034,169564.561835,7883760.6529
2035,171586.626457,7880358.81628
2036,174989.966574,7876013.72606
2037,177248.066552,7873622.76783
2038,180682.082745,7869308.35368
2039,183013.464457,7865440.99112
2040,186219.114313,7860123.36759
2041,186763.614647,7860667.86793
2042,186763.614647,7860667.86793
2043,187308.114981,7861212.36826
2044,187852.615315,7861756.8686
2045,188397.11565,7862301.36893
2046,188397.11565,7862301.36893
2047,188941.615984,7862845.86926
2048,188941.615984,7862845.86926
2049,189486.116318,7863390.3696
2050,190030.616652,7863934.86993
