year,Base case diesel consumed,American creek
2021,28375.3695312,0.0
2022,28375.3695312,0.0
2023,28375.3695312,0.0
2024,28375.3695312,0.0
2025,28460.5808511,85.2113199135
2026,28460.5808511,85.2113199135
2027,28545.792171,170.422639827
2028,28545.792171,170.422639827
2029,28716.2148108,340.845279654
2030,28801.4261308,426.056599567
2031,28886.6374507,511.267919481
2032,28886.6374507,511.267919481
2033,28886.6374507,511.267919481
2034,28886.6374507,511.267919481
2035,28886.6374507,511.267919481
2036,28971.8487706,596.479239394
2037,29057.0600905,681.690559308
2038,29142.2714104,766.901879221
2039,29142.2714104,766.901879221
2040,29142.2714104,766.901879221
2041,29227.4827303,852.113199135
2042,29227.4827303,852.113199135
2043,29312.6940502,937.324519048
2044,29397.9053702,1022.53583896
2045,29483.1166901,1107.74715888
2046,29483.1166901,1107.74715888
2047,29568.32801,1192.95847879
2048,29568.32801,1192.95847879
2049,29653.5393299,1278.1697987
2050,29738.7506498,1363.38111862
