year,Base case cost,Modeled water and wastewater efficiency
2017,0.0,3131.1243473
2018,0.0,3131.1243473
2019,0.0,3131.1243473
2020,0.0,3131.1243473
2021,0.0,3131.1243473
2022,0.0,3131.1243473
2023,0.0,3131.1243473
2024,0.0,3131.1243473
2025,0.0,3131.1243473
2026,0.0,3131.1243473
2027,0.0,3131.1243473
2028,0.0,3131.1243473
2029,0.0,3131.1243473
2030,0.0,3131.1243473
2031,0.0,3131.1243473
