year,Base case cost,Modeled water and wastewater efficiency
2017,56540.4110445,43309.9968522
2018,60752.0239853,46252.4189718
2019,66531.7595665,50290.3969985
2020,69295.4856388,52221.2598106
2021,71091.3685468,53475.9462521
2022,72399.7609718,54390.0522659
2023,73340.7056663,55047.4450717
2024,74163.6559564,55622.4003128
2025,75109.6961322,56283.3497472
2026,76180.3552446,57031.3611946
2027,77127.8577215,57693.3306659
2028,77832.5612886,58185.6709071
2029,78921.1343944,58946.191464
2030,79522.7366877,59366.4957198
2031,80719.9062597,60202.8893944
