year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.6
2003,,1.63,1.6
2004,,2.08,
2005,,2.8,
2008,,5.43,5.46
2009,,4.61,5.03
2010,,4.06,5.03
2011,,4.18,5.19
2012,,4.24,5.34
2013,,4.14,5.26
2014,,,5.0
2016,start of forecast,3.09,4.37
2017,,3.58,4.86
2018,,3.93,5.21
2019,,4.41,5.69
2020,,4.64,5.92
2021,,4.79,6.07
2022,,4.9,6.18
2023,,4.98,6.26
2024,,5.05,6.33
2025,,5.13,6.41
2026,,5.22,6.5
2027,,5.3,6.58
2028,,5.36,6.64
2029,,5.45,6.73
2030,,5.5,6.78
2031,,5.6,6.88
2032,,5.69,6.97
2033,,5.79,7.07
2034,,5.89,7.17
2035,,5.95,7.23
2036,,6.06,7.34
2037,,6.12,7.4
2038,,6.22,7.5
2039,,6.3,7.58
2040,,6.41,7.69
