year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6192.64203396,4025.21732207
2018,6191.76817107,4024.6493112
2019,6191.09766518,4024.21348237
2020,6190.31411721,4023.70417618
2021,6189.27714224,4023.03014246
2022,6187.82989034,4022.08942872
2023,6185.93246746,4020.85610385
2024,6184.28191253,4019.78324315
2025,6182.88691696,4018.87649602
2026,6181.86605616,4018.2129365
2027,6180.65314796,4017.42454618
2028,6179.30209521,4016.54636188
2029,6179.74155039,4016.83200776
2030,6179.73971494,4016.83081471
2031,6179.28317388,4016.53406302
