year,Base case diesel consumed,Modeled solar power (pv)
2016,40460.4051766,39849.387241
2017,40435.9342106,39829.8044184
2018,40547.2582257,39945.9774719
2019,40540.5894139,39944.1189061
2020,40537.6223882,39945.9236445
2021,40541.8233426,39954.8581888
2022,40629.0970293,40046.8275968
2023,40628.904463,40051.293186
2024,40629.6367165,40056.6463296
2025,40718.2980507,40149.891587
2026,40718.3366197,40154.4774077
2027,40718.4522338,40159.1038954
2028,40807.4476159,40252.5740642
2029,40718.3837183,40167.9491551
2030,40718.3994178,40172.3683311
2031,40807.467127,40265.8042889
2032,40807.4736307,40270.1440953
2033,40807.4751633,40274.4442643
2034,40896.5572881,40367.7906362
2035,40896.5589036,40372.022385
