year,Base case diesel consumed,Modeled solar power (pv)
2016,51088.0505219,50332.2316827
2017,51163.7365227,50413.9642342
2018,51239.4225235,50495.6484133
2019,51390.794525,50652.9706077
2020,51466.4805258,50734.5591998
2021,51542.1665266,50816.1005712
2022,51617.8525273,50897.5950996
2023,51693.5385281,50979.0431598
2024,51844.9105297,51136.1311243
2025,51920.5965304,51217.4873603
2026,51996.2825312,51298.7982345
2027,52147.6545328,51455.7501104
2028,52299.0265343,51612.6573473
2029,52450.3985359,51769.5203023
2030,52526.0845366,51850.653329
2031,52677.4565382,52007.4287802
2032,52828.8285397,52164.1610038
2033,52980.2005413,52320.8503456
2034,53055.886542,52401.811148
2035,53207.2585436,52558.4157527
