year,Base case cost,Modeled biomass for heat (cordwood)
2017,160303.89444,186662.863072
2018,172347.09444,195567.750678
2019,189948.69444,208582.586411
2020,198286.29444,214747.5086
2021,203844.69444,218857.456726
2022,208476.69444,222282.413498
2023,211255.89444,224337.387561
2024,214035.09444,226392.361624
2025,216814.29444,228447.335687
2026,220519.89444,231187.301104
2027,223762.29444,233584.770845
2028,226078.29444,235297.249231
2029,229783.89444,238037.214648
2030,231636.69444,239407.197357
2031,235342.29444,242147.162774
2032,,
2033,,
2034,,
2035,,
2036,,
