year,Base case cost,Modeled diesel efficiency
2019,131046.526039,309334.881235
2020,140503.491835,317932.122868
2021,146895.174601,323742.743564
2022,152272.664956,328631.37116
2023,155597.55097,331653.994809
2024,159163.875326,334896.10786
2025,162511.46714,337939.373146
2026,166908.066925,341936.282041
2027,171044.306867,345696.50017
2028,174155.758359,348525.092436
2029,178855.859007,352797.911206
2030,181214.991651,354942.577247
2031,185951.42158,359248.422636
2032,191240.359314,364056.547849
2033,196026.742003,368407.804839
2034,201081.809994,373003.321195
2035,204315.872807,375943.378297
2036,209699.418042,380837.510329
2037,213202.923018,384022.514853
2038,218320.81039,388675.139737
