year,Base case diesel consumed,Modeled residential energy efficiency
2017,43491.9561891,31877.059994
2018,43491.9561891,31877.059994
2019,43491.9561891,31877.059994
2020,44376.3805769,32761.4843818
2021,44376.3805769,32761.4843818
2022,44376.3805769,32761.4843818
2023,45260.8049647,33645.9087697
2024,45260.8049647,33645.9087697
2025,45260.8049647,33645.9087697
2026,46145.2293526,34530.3331575
2027,46145.2293526,34530.3331575
2028,47029.6537404,35414.7575453
2029,47029.6537404,35414.7575453
2030,47029.6537404,35414.7575453
2031,47914.0781283,36299.1819332
2032,47914.0781283,36299.1819332
2033,48798.5025161,37183.606321
2034,48798.5025161,37183.606321
2035,49682.9269039,38068.0307089
2036,49682.9269039,38068.0307089
