year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,426782.25,27132.59,152877.23,120336.34
2018,429343.91,27586.03,152877.23,124937.49
2019,428350.57,28051.01,152877.23,129538.64
2020,429714.74,28525.05,152877.23,134139.8
2021,430741.63,29007.52,152877.23,138740.95
2022,431232.23,29499.78,152877.23,143342.1
2023,432192.78,30003.52,152877.23,148863.49
2024,433018.8,30516.39,152877.23,154384.87
2025,433851.94,31036.92,152877.23,158986.03
2026,434774.57,31561.2,152877.23,164507.41
2027,435659.86,32090.81,152877.23,170028.8
2028,436540.22,32627.16,152877.23,175550.18
2029,437436.31,33177.24,152877.23,181071.57
2030,438323.56,33736.43,152877.23,186592.95
2031,439285.54,34302.93,152877.23,192114.33
2032,440250.04,,,197635.72
2033,441212.65,,,203157.1
2034,442175.68,,,209598.72
2035,443213.14,,,216040.33
2036,444250.23,,,221561.72
