year,Base case cost,Modeled water and wastewater efficiency
2017,281407.918881,215936.520637
2018,301096.733266,230179.221707
2019,326240.556423,248429.808143
2020,342656.159401,260283.174242
2021,356853.636838,270514.700701
2022,369249.496019,279429.725921
2023,380879.447421,287787.95651
2024,392220.651258,295939.243217
2025,404406.111212,304714.733859
2026,417410.277244,314095.493215
2027,430058.514719,323219.582137
2028,442339.672845,332078.731751
2029,456276.275704,342157.202365
2030,468576.722083,351039.327785
2031,483128.240152,361577.52797
