year,Base case diesel consumed,Modeled non-residential ashp
2017,152877.234538,107014.064222
2018,152877.234538,107014.064222
2019,152877.234538,107014.064222
2020,152877.234538,107014.064222
2021,152877.234538,107014.064222
2022,152877.234538,107014.064222
2023,152877.234538,107014.064222
2024,152877.234538,107014.064222
2025,152877.234538,107014.064222
2026,152877.234538,107014.064222
2027,152877.234538,107014.064222
2028,152877.234538,107014.064222
2029,152877.234538,107014.064222
2030,152877.234538,107014.064222
2031,152877.234538,107014.064222
