year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,27132.5850451,19776.9966712
2018,27586.0284007,20107.5124595
2019,28051.0088072,20446.4376277
2020,28525.0459935,20791.9643013
2021,29007.5247658,21143.6440641
2022,29499.7751559,21502.4463791
2023,30003.5214395,21869.6280744
2024,30516.3916544,22243.4602218
2025,31036.9192997,22622.8738859
2026,31561.2030934,23005.0254143
2027,32090.8113466,23391.057952
2028,32627.1564056,23782.0009612
2029,33177.2350174,24182.9543852
2030,33736.4332281,24590.5551034
2031,34302.9314504,25003.476815
