year,Base case cost,Pedro bay (knutson creek),Knutson creek,Knutson creek hydroelectric project design and permitting,Pedro bay (canyon creek)
2021,90872.1042758,810036.76258,835861.355984,,1103181.80163
2022,92899.6765822,793575.998591,818181.500009,,1080911.10734
2023,94189.949868,777554.084692,801082.665868,,1059215.43337
2024,95295.8983988,761919.535026,784421.812317,,1038040.10239
2025,96586.1716846,746635.250138,768100.652294,,1017344.89826
2026,98060.7697256,731692.688354,752110.180407,,997118.235637
2027,99351.0430115,717111.861256,736530.668161,,977377.153822
2028,100456.991542,702884.622935,721353.527415,,958110.604262
2029,101931.589583,688960.489024,706436.772785,,939265.267961
2030,102853.213359,675402.573205,691994.878117,,920901.490409
2031,104327.8114,662118.230463,677752.648248,,902923.923347
2032,105986.734196,649128.404997,663791.337931,,885350.871016
2033,107461.332237,636454.214577,650192.384914,,868200.873077
2034,109120.255033,624060.241051,636859.274715,,851435.993803
2035,109652.108754,611422.195386,623388.769237,,834529.485462
2036,111302.391327,599587.830337,610646.117143,,818526.699866
2037,112219.214979,588088.186209,598374.496175,,802956.332525
2038,114465.672932,577391.920647,586799.364061,,788284.75132
2039,115755.946217,566397.946609,575001.431372,,773408.633114
2040,116803.333237,555019.429351,562772.105136,,758238.959449
2041,116803.333237,544629.396657,551818.008444,,744146.625557
2042,116803.333237,534482.880348,541120.648386,,730384.580731
2043,116803.333237,524574.173057,530674.007748,,716945.083888
2044,116803.333237,514897.701056,520472.210211,,703820.575202
2045,117414.869014,506059.55718,511121.053118,,691615.208013
2046,117414.869014,496831.354383,501391.860851,,679098.701196
2047,117414.869014,487819.437611,491890.696551,,666875.550037
2048,117414.869014,479018.737639,482612.21579,,654938.878984
2049,117414.869014,470424.303991,473551.199335,,643281.973548
2050,117414.869014,462031.30244,464702.550516,,631898.276913
2051,117414.869014,453835.011874,456061.291915,,620781.385683
2052,117414.869014,445830.821863,447622.562807,,609925.046584
2053,117414.869014,438014.230085,439381.616444,,599323.152973
2054,117414.869014,430380.839612,431333.817192,,588969.741155
2055,117414.869014,422926.356753,423474.638262,,578858.987461
2056,117414.869014,415646.588343,415799.658844,,568985.204565
2057,117414.869014,408537.439513,408304.561767,,559342.838468
2058,117414.869014,401594.911332,400985.130998,,549926.465288
2059,117414.869014,394815.09871,393837.249445,,540730.78843
2060,117414.869014,388194.187901,386856.89632,,531750.635187
2061,117414.869014,381728.454694,380040.145225,,522980.954292
2062,117414.869014,375414.262112,373383.161737,,514416.812797
2063,117414.869014,369248.058399,366882.201279,,506053.393342
2064,117414.869014,363226.375142,360533.607142,,497885.991607
2065,117414.869014,357345.825042,354333.808132,,489910.013289
2066,117414.869014,351603.100315,348279.316891,,482120.971937
2067,117414.869014,345994.970746,342366.727838,,474514.486305
2068,117414.869014,340518.281668,336592.715043,,467086.277618
2069,117414.869014,335169.952506,330954.030689,,459832.167593
2070,117414.869014,329946.974822,325447.503014,,452748.075791
