year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.5
2004,,2.68,2.9
2005,,3.54,4.0
2006,,4.87,4.71
2008,,6.16,6.94
2009,,4.64,4.52
2014,,5.19,5.59
2016,start of forecast,3.34,4.62
2017,,3.81,5.09
2018,,4.14,5.42
2019,,4.59,5.87
2020,,4.79,6.07
2021,,4.93,6.21
2022,,5.04,6.32
2023,,5.11,6.39
2024,,5.17,6.45
2025,,5.24,6.52
2026,,5.32,6.6
2027,,5.39,6.67
2028,,5.45,6.73
2029,,5.53,6.81
2030,,5.58,6.86
2031,,5.66,6.94
2032,,5.75,7.03
2033,,5.83,7.11
2034,,5.92,7.2
2035,,5.98,7.26
2036,,6.07,7.35
2037,,6.12,7.4
2038,,6.21,7.49
2039,,6.28,7.56
2040,,6.37,7.65
