year,Base case cost,Modeled solar power (pv)
2016,90529.9276632,94613.638999
2017,108355.079297,112070.776535
2018,121085.473097,124516.611398
2019,139350.820723,142426.916874
2020,148206.746845,151072.635587
2021,154950.846624,157641.994806
2022,159654.628693,162199.492097
2023,163061.968556,165482.203319
2024,165953.889062,168264.558926
2025,169391.875482,171583.550604
2026,173648.960774,175718.428815
2027,177120.379801,179076.389662
2028,180912.194645,182763.293176
2029,184869.315158,186606.318786
2030,187434.339062,189083.073436
2031,192270.922875,193804.843671
2032,196284.693082,197712.125119
2033,201177.92659,202495.684899
2034,206104.592706,207315.1899
2035,209691.16849,210813.772125
