year,Base case diesel consumed,Modeled solar power (pv)
2016,42905.1789873,42256.4585584
2017,42998.0473401,42354.5166746
2018,43090.9156929,42452.5332727
2019,43276.6523984,42643.3770377
2020,43462.389104,42834.1799461
2021,43648.1258096,43024.942325
2022,43740.9941624,43122.7961456
2023,43833.8625151,43220.6100826
2024,44019.5992207,43411.2528076
2025,44112.4675735,43508.9879317
2026,44298.2042791,43699.5524744
2027,44391.0726319,43797.2100416
2028,44669.6776902,44080.5660007
2029,44762.546043,44178.147247
2030,44948.2827486,44368.5591429
2031,45134.0194542,44558.9336374
2032,45226.8878069,44656.4026767
2033,45412.6245125,44846.7032633
2034,45598.3612181,45036.9673389
2035,45784.0979237,45227.1951955
