year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,27516.9,169411.14,380300.12,14360.86,109407.64,270220.51
2018,29070.73,179819.55,406910.51,15131.21,114249.12,285991.46
2019,31300.63,194534.87,442879.23,16181.75,121093.97,307167.35
2020,32121.79,201354.17,463489.11,16870.03,124265.97,319361.01
2021,32761.91,206378.91,480763.6,17341.06,126603.24,329593.29
2022,33172.15,209968.01,495300.62,17720.97,128272.71,338220.8
2023,33412.78,212480.39,500620.91,18030.18,129441.35,341302.18
2024,33514.75,214274.94,511595.54,18316.5,130276.08,347851.3
2025,33724.64,216787.31,524241.59,18653.07,131444.72,355358.82
2026,33982.0,219658.59,537831.46,19020.2,132780.3,363401.26
2027,34166.93,222170.97,550791.0,19378.24,133948.93,371070.38
2028,34215.61,224324.43,563087.8,19786.9,134950.61,378349.44
2029,34438.41,227195.71,584727.7,20183.01,136286.19,391191.37
2030,34435.8,228631.35,595677.37,20486.63,136953.99,397679.2
2031,34698.57,231861.55,611000.19,20918.75,138456.51,406663.33
