year,Base case cost,Modeled non-residential energy efficiency
2017,149730.930965,181926.964935
2018,169305.298592,198937.076116
2019,197332.234058,223723.145318
2020,210678.393804,235063.765954
2021,220020.705626,242752.686037
2022,226693.785499,248013.69193
2023,231587.377406,251662.487657
2024,235591.225329,254514.788458
2025,240484.817236,258202.508748
2026,246268.153126,262725.197814
2027,251161.745033,266450.03952
2028,255610.464948,269784.697957
2029,260948.928846,273953.035376
2030,264507.904779,276506.077859
2031,270291.240669,281116.270964
