year,Base case cost,"Nikolski, sheep creek","Nikolski (unnamed stream, site #2) -- unnamed creek","Nikolski (unnamed stream, site #3) -- unnamed creek"
2021,89860.6344878,341050.590573,1013951.29947,526370.18435
2022,92692.3771712,334633.025799,991087.005656,516325.583047
2023,94267.5737425,327827.543053,968707.191752,505983.605873
2024,95957.6298455,321644.609162,947547.46478,496349.706171
2025,98023.2539713,315626.749929,926608.755462,486958.410025
2026,100464.44612,309770.524083,905880.055787,477804.388102
2027,102530.070246,304036.093466,885847.984219,468852.024592
2028,104407.91036,298429.295056,866377.698807,460103.839031
2029,106093.980716,292406.944449,846518.58388,451010.339077
2030,107588.262134,287037.880266,828133.364892,442647.745341
2031,110016.469439,281836.778483,809528.841977,434515.407574
2032,112631.461922,276768.172103,791196.831145,426582.287331
2033,115246.454404,271821.025527,773253.348633,418837.266203
2034,118048.232064,267000.612837,755563.948132,411282.540006
2035,119729.29866,262247.310645,738997.125117,403867.576144
2036,122531.076319,257655.849543,722040.100039,396667.416558
2037,123547.918223,252461.908269,705524.262948,388934.484577
2038,126520.499714,248080.931585,689124.363086,382063.088669
2039,128564.149489,243769.696545,673693.158828,375326.817854
2040,131722.517324,239604.072062,657833.011471,368783.503929
2041,131722.517324,235417.849545,644442.029916,362300.496997
2042,131722.517324,231329.74152,631364.899176,355969.435387
2043,131722.517324,227337.448744,618594.264382,349786.75837
2044,131722.517324,223438.725294,606122.941228,343748.987791
2045,131722.517324,219631.378246,593943.914937,337852.727569
2046,131722.517324,215913.265733,582050.334057,332094.660696
2047,131722.517324,212282.296623,570435.509432,326471.548734
2048,131014.34393,208028.254865,558384.733566,320272.054921
2049,131014.34393,204565.492737,547307.97317,314909.437242
2050,131014.34393,201183.889195,536490.824661,309672.506066
