year,annotation,diesel generation efficiency
2002,,9.14
2003,,10.01
2004,,10.58
2005,,8.56
2006,,10.53
2007,,11.47
2008,,12.51
2009,,9.72
2010,,10.63
2011,,9.65
2012,,10.36
2013,,10.03
2016,start of forecast,10.01
2017,,10.01
2018,,10.01
2019,,10.01
2020,,10.01
2021,,10.01
2022,,10.01
2023,,10.01
2024,,10.01
2025,,10.01
2026,,10.01
2027,,10.01
2028,,10.01
2029,,10.01
2030,,10.01
2031,,10.01
2032,,10.01
2033,,10.01
2034,,10.01
2035,,10.01
2036,,10.01
2037,,10.01
2038,,10.01
2039,,10.01
2040,,10.01
