year,Base case diesel consumed,Modeled non-residential ashp
2017,177723.093241,124406.165162
2018,177723.093241,124406.165162
2019,177723.093241,124406.165162
2020,177723.093241,124406.165162
2021,177723.093241,124406.165162
2022,177723.093241,124406.165162
2023,177723.093241,124406.165162
2024,177723.093241,124406.165162
2025,177723.093241,124406.165162
2026,177723.093241,124406.165162
2027,177723.093241,124406.165162
2028,177723.093241,124406.165162
2029,177723.093241,124406.165162
2030,177723.093241,124406.165162
2031,177723.093241,124406.165162
