year,Base case diesel consumed,Modeled residential ashp
2017,313447.619487,4179.30096392
2018,315146.891873,5878.57335007
2019,315146.891873,5878.57335007
2020,315146.891873,5878.57335007
2021,315146.891873,5878.57335007
2022,315146.891873,5878.57335007
2023,315146.891873,5878.57335007
2024,315146.891873,5878.57335007
2025,315146.891873,5878.57335007
2026,315146.891873,5878.57335007
2027,313447.619487,4179.30096392
2028,311748.347101,2480.02857777
2029,311748.347101,2480.02857777
2030,310049.074714,780.756191626
2031,306650.529942,0.0
