year,Base case diesel consumed,Modeled residential ashp
2017,28288.5860898,12395.4048113
2018,28288.5860898,12395.4048113
2019,28288.5860898,12395.4048113
2020,28288.5860898,12395.4048113
2021,26379.2172224,10486.035944
2022,26379.2172224,10486.035944
2023,26379.2172224,10486.035944
2024,26379.2172224,10486.035944
2025,26379.2172224,10486.035944
2026,26379.2172224,10486.035944
2027,26379.2172224,10486.035944
2028,26379.2172224,10486.035944
2029,26379.2172224,10486.035944
2030,26379.2172224,10486.035944
2031,26379.2172224,10486.035944
