year,Base case diesel consumed,Modeled wind power
2019,186407.945465,162264.599605
2020,187932.774955,163789.429094
2021,190323.307798,166179.961937
2022,191759.813369,167616.467508
2023,193567.677922,169424.332061
2024,194848.264278,170704.918417
2025,196500.034616,172356.688756
2026,199371.171973,175227.826113
2027,201233.944234,177090.598374
2028,202956.058269,178812.712409
2029,204534.260106,180390.914245
2030,206255.289483,182111.943623
2031,208263.791427,184120.445567
2032,210056.944399,185913.598538
2033,211850.021993,187706.676132
2034,214145.287365,190001.941505
2035,216010.151669,191866.805809
2036,217803.28541,193659.93955
2037,219596.437867,195453.092007
2038,221819.933985,197676.588125
