year,Base case cost,Modeled wind power
2019,510757.770575,641057.119133
2020,545005.047369,668323.078479
2021,572873.156472,690325.656217
2022,594455.421443,706538.532143
2023,609738.185454,717357.816859
2024,623514.445688,726751.084865
2025,640590.112848,739316.48774
2026,663906.002671,757992.999003
2027,682183.070954,771911.520887
2028,698168.840446,783817.819324
2029,715869.91037,797305.032315
2030,730143.72477,807846.546716
2031,751832.287053,825253.365957
2032,775110.124832,844110.1653
2033,796556.082692,861405.97443
2034,822317.903481,882875.266862
2035,838119.388478,895269.719462
2036,862501.010225,915481.369581
2037,880581.715847,930068.854392
2038,905025.330659,950665.249544
