year,population
2003,521.0
2004,521.0
2005,524.0
2006,527.0
2007,528.0
2008,558.0
2009,548.0
2010,569.0
2011,580.0
2012,587.0
2013,593.0
2014,598.0
2015,604.0
2016,611.0
2017,618.0
2018,625.0
2019,633.0
2020,640.0
2021,653.0
2022,660.0
2023,669.0
2024,676.0
2025,685.0
2026,699.0
2027,709.0
2028,718.0
2029,726.0
2030,735.0
2031,745.0
2032,754.0
2033,764.0
2034,776.0
2035,785.0
2036,794.0
2037,804.0
2038,815.0
2039,825.0
2040,834.0
