year,Base case cost,"Ophir  (o-4, not identified) -- unnamed creek, o-4",Takotna (ganes creek),Takotna (gold creek)
2021,107674.014445,6054888.77461,19963137.8315,135319.084871
2022,110242.778209,5931470.28841,19565349.534,136025.133613
2023,111955.287385,5811440.03262,19177189.6384,136136.664389
2024,113453.732914,5694331.27038,18798193.931,136119.302014
2025,115166.24209,5579812.10672,18427985.3891,136283.265736
2026,117306.87856,5467685.4505,18066274.0564,136783.368878
2027,119629.743571,5359032.42929,17713795.6139,137607.692386
2028,121135.873436,5252445.88156,17369056.7098,137698.050381
2029,123072.326119,5148071.42,17032222.3704,138125.00589
2030,124363.294575,5046511.8799,16703508.4516,138105.415435
2031,126299.747259,4946917.5287,16382244.4292,138577.849274
2032,128451.361352,4849497.36414,16068411.9674,139228.74427
2033,130602.975445,4754329.50536,15761915.9711,139901.067872
2034,132969.750947,4661228.98992,15462503.5133,140750.836115
2035,134260.719403,4570937.31777,15170492.5705,140838.449007
2036,136627.494905,4482082.39313,14884909.3321,141728.610121
2037,137918.463361,4395936.80596,14606403.487,141855.669178
2038,140285.238863,4311130.7916,14334008.8178,142784.351931
2039,142006.530138,4228674.86831,14068220.471,143262.066288
2040,144373.30564,4147730.19669,13808403.4048,144227.486147
2041,144373.30564,4070102.51859,13555545.7371,143488.930556
2042,144373.30564,3994294.23914,13308614.4207,142767.684861
2043,144373.30564,3920262.71655,13067470.5582,142063.343365
2044,144373.30564,3847966.30749,12831978.504,141375.509871
2045,143636.707142,3776627.7473,12601269.1972,139967.198978
2046,143636.707142,3707680.51899,12376686.4739,139311.229842
2047,143636.707142,3640349.24152,12157367.4088,138670.634984
2048,143636.707142,3574596.04085,11943188.6343,138045.054068
2049,143636.707142,3510383.93023,11734029.6728,137434.135199
2050,143636.707142,3447676.79138,11529772.8759,136837.534745
2051,143636.707142,3386439.35118,11330303.3479,136254.917115
2052,143636.707142,3326637.16345,11135508.8869,135685.954585
2053,143636.707142,3268236.58972,10945279.9218,135130.327117
2054,143636.707142,3211204.77894,10759509.4465,134587.722163
2055,143636.707142,3155509.65142,10578092.9673,134057.834514
2056,143636.707142,3101119.8785,10400928.437,133540.366108
2057,143636.707142,3048004.86595,10227916.2006,133035.025868
2058,143636.707142,2996134.73629,10058958.9378,132541.529538
2059,143636.707142,2945480.31321,9893961.61218,132059.599532
2060,143636.707142,2896013.10284,9732831.4103,131588.964757
2061,143636.707142,2847705.28024,9575477.69763,131129.360485
2062,143636.707142,2800529.67226,9421811.96267,130680.528189
2063,143636.707142,2754459.74245,9271747.76792,130242.215398
2064,143636.707142,2709469.57704,9125200.70409,129814.175567
2065,143636.707142,2665533.86829,8982088.33598,129396.167916
2066,143636.707142,2622627.90258,8842330.16353,128987.957319
2067,143636.707142,2580727.54578,8705847.57438,128589.31416
2068,143636.707142,2539809.22826,8572563.79482,128200.014198
2069,143636.707142,2499849.93391,8442403.8542,127819.838454
2070,143636.707142,2460827.18564,8315294.53754,127448.573081
