year,Base case diesel consumed,"Ophir  (o-4, not identified) -- unnamed creek, o-4",Takotna (ganes creek),Takotna (gold creek)
2021,21406.3647007,0.0,0.0,15737.2907907
2022,21406.3647007,0.0,0.0,15737.2907907
2023,21406.3647007,0.0,0.0,15737.2907907
2024,21406.3647007,0.0,0.0,15737.2907907
2025,21406.3647007,0.0,0.0,15737.2907907
2026,21406.3647007,0.0,0.0,15737.2907907
2027,21516.14093,109.776229235,109.776229235,15847.06702
2028,21516.14093,109.776229235,109.776229235,15847.06702
2029,21516.14093,109.776229235,109.776229235,15847.06702
2030,21516.14093,109.776229235,109.776229235,15847.06702
2031,21516.14093,109.776229235,109.776229235,15847.06702
2032,21516.14093,109.776229235,109.776229235,15847.06702
2033,21516.14093,109.776229235,109.776229235,15847.06702
2034,21516.14093,109.776229235,109.776229235,15847.06702
2035,21516.14093,109.776229235,109.776229235,15847.06702
2036,21516.14093,109.776229235,109.776229235,15847.06702
2037,21516.14093,109.776229235,109.776229235,15847.06702
2038,21516.14093,109.776229235,109.776229235,15847.06702
2039,21516.14093,109.776229235,109.776229235,15847.06702
2040,21516.14093,109.776229235,109.776229235,15847.06702
2041,21516.14093,109.776229235,109.776229235,15847.06702
2042,21516.14093,109.776229235,109.776229235,15847.06702
2043,21516.14093,109.776229235,109.776229235,15847.06702
2044,21516.14093,109.776229235,109.776229235,15847.06702
2045,21406.3647007,0.0,0.0,15737.2907907
2046,21406.3647007,0.0,0.0,15737.2907907
2047,21406.3647007,0.0,0.0,15737.2907907
2048,21406.3647007,0.0,0.0,15737.2907907
2049,21406.3647007,0.0,0.0,15737.2907907
2050,21406.3647007,0.0,0.0,15737.2907907
2051,21406.3647007,0.0,0.0,15737.2907907
2052,21406.3647007,0.0,0.0,15737.2907907
2053,21406.3647007,0.0,0.0,15737.2907907
2054,21406.3647007,0.0,0.0,15737.2907907
2055,21406.3647007,0.0,0.0,15737.2907907
2056,21406.3647007,0.0,0.0,15737.2907907
2057,21406.3647007,0.0,0.0,15737.2907907
2058,21406.3647007,0.0,0.0,15737.2907907
2059,21406.3647007,0.0,0.0,15737.2907907
2060,21406.3647007,0.0,0.0,15737.2907907
2061,21406.3647007,0.0,0.0,15737.2907907
2062,21406.3647007,0.0,0.0,15737.2907907
2063,21406.3647007,0.0,0.0,15737.2907907
2064,21406.3647007,0.0,0.0,15737.2907907
2065,21406.3647007,0.0,0.0,15737.2907907
2066,21406.3647007,0.0,0.0,15737.2907907
2067,21406.3647007,0.0,0.0,15737.2907907
2068,21406.3647007,0.0,0.0,15737.2907907
2069,21406.3647007,0.0,0.0,15737.2907907
2070,21406.3647007,0.0,0.0,15737.2907907
