year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2006,,2.97,3.39
2009,,5.03,3.3
2010,,4.74,5.71
2014,,5.09,0.0
2016,start of forecast,3.25,4.8
2017,,3.76,5.31
2018,,4.14,5.69
2019,,4.64,6.19
2020,,4.87,6.42
2021,,5.03,6.58
2022,,5.15,6.7
2023,,5.23,6.78
2024,,5.3,6.85
2025,,5.38,6.93
2026,,5.48,7.03
2027,,5.56,7.11
2028,,5.63,7.18
2029,,5.72,7.27
2030,,5.78,7.33
2031,,5.87,7.42
2032,,5.97,7.52
2033,,6.07,7.62
2034,,6.18,7.73
2035,,6.24,7.79
2036,,6.35,7.9
2037,,6.41,7.96
2038,,6.52,8.07
2039,,6.6,8.15
2040,,6.71,8.26
