year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,698.903634003,454.287362102
2018,701.884388411,456.224852467
2019,705.216198788,458.390529212
2020,707.84987248,460.102417112
2021,710.217478373,461.641360942
2022,711.634450473,462.562392807
2023,713.333391385,463.6667044
2024,714.30349021,464.297268636
2025,715.215468093,464.890054261
2026,717.28767156,466.236986514
2027,719.014850477,467.35965281
2028,720.504610831,468.32799704
2029,721.76901546,469.149860049
2030,722.955422883,469.921024874
2031,724.002422293,470.60157449
