year,Base case cost,Modeled diesel efficiency
2019,99325.5322114,250033.466212
2020,104248.996093,250765.494159
2021,107674.014445,250223.045341
2022,110242.778209,248987.873149
2023,111955.287385,247057.969233
2024,113453.732914,245015.182236
2025,115166.24209,243246.803487
2026,117306.87856,241945.565872
2027,119629.743571,240886.098469
2028,121135.873436,239158.468685
2029,123072.326119,237894.62364
2030,124363.294575,236114.855772
2031,126299.747259,234991.111465
2032,128451.361352,234130.565863
2033,130602.975445,233336.033328
2034,132969.750947,232801.568003
2035,134260.719403,231352.051244
2036,136627.494905,230942.020367
2037,137918.463361,229614.021648
2038,140285.238863,229322.660739
