year,Base case cost,Modeled biomass for heat (cordwood)
2017,195118.505219,211805.732417
2018,209079.705219,221395.409783
2019,227449.705219,234262.218244
2020,235899.905219,239810.948423
2021,241778.305219,243474.440948
2022,246187.105219,246067.296686
2023,249126.305219,247589.140406
2024,251698.105219,248854.59078
2025,254637.305219,250406.613363
2026,258311.305219,252516.520391
2027,261250.505219,254097.323781
2028,263822.305219,255420.351957
2029,267128.905219,257300.264563
2030,269333.305219,258378.43525
2031,272639.905219,260284.523847
2032,,
2033,,
2034,,
2035,,
2036,,
