year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,21406.36,698.9,36739.71,12013.86
2018,21406.36,701.88,36739.71,12013.86
2019,21406.36,705.22,36739.71,12013.86
2020,21406.36,707.85,36739.71,12013.86
2021,21406.36,710.22,36739.71,12013.86
2022,21406.36,711.63,36739.71,12013.86
2023,21406.36,713.33,36739.71,12013.86
2024,21406.36,714.3,36739.71,12013.86
2025,21406.36,715.22,36739.71,12013.86
2026,21406.36,717.29,36739.71,12013.86
2027,21516.14,719.01,36739.71,12013.86
2028,21516.14,720.5,36739.71,12013.86
2029,21516.14,721.77,36739.71,12013.86
2030,21516.14,722.96,36739.71,12013.86
2031,21516.14,724.0,36739.71,12013.86
2032,21516.14,,,12013.86
2033,21516.14,,,12013.86
2034,21516.14,,,12013.86
2035,21516.14,,,12013.86
2036,21516.14,,,12013.86
