year,annotation,Average Load
2003,,1574.0
2004,,1538.0
2005,,1563.0
2006,,1622.0
2007,,1630.0
2008,,1791.0
2009,,1897.0
2010,,1923.0
2011,,2100.0
2012,start of forecast,1930.0
2013,,1980.0
2014,,2020.0
2015,,2062.0
2016,,2112.0
2017,,2166.0
2018,,2209.0
2019,,2233.0
2020,,2258.0
2021,,2287.0
2022,,2304.0
2023,,2315.0
2024,,2317.0
2025,,2321.0
2026,,2329.0
2027,,2346.0
2028,,2367.0
2029,,2310.0
2030,,2269.0
2031,,2248.0
2032,,2281.0
2033,,2328.0
2034,,2372.0
2035,,2397.0
2036,,2394.0
2037,,2368.0
2038,,2348.0
2039,,2352.0
2040,,2373.0
