year,Base case cost,Modeled diesel efficiency
2019,0.0,144436.656943
2020,0.0,144436.656943
2021,0.0,144436.656943
2022,0.0,144436.656943
2023,0.0,144436.656943
2024,0.0,144436.656943
2025,0.0,144436.656943
2026,0.0,144436.656943
2027,0.0,144436.656943
2028,0.0,144436.656943
2029,0.0,144436.656943
2030,0.0,144436.656943
2031,0.0,144436.656943
2032,0.0,144436.656943
2033,0.0,144436.656943
2034,0.0,144436.656943
2035,0.0,144436.656943
2036,0.0,144436.656943
2037,0.0,144436.656943
2038,0.0,144436.656943
