year,Base case cost,Melanson lake (melanson creek),Myrtle creek (niblack lake),"Collinson creek (moira sound, unnamed stream)",Kegan creek,Triangle lake (annette island),Weigle (weigle creek),Paul lake (tunnel creek),Tamgas lake  (tamgas creek),Triangle lake hydroelectric project
2021,0.0,477329.173352,4152922.91876,802963.671654,3937083.60394,5710337.82564,2537381.89578,1131827.3374,567697.475733,
2022,0.0,476945.405778,4149746.91125,802938.528261,3934172.26372,5706520.10417,2535793.89202,1131430.33646,567300.474794,
2023,0.0,476721.541359,4147894.2402,802923.861282,3932473.98193,5704293.09997,2534867.5565,1131198.75258,567068.890913,
2024,0.0,476497.676941,4146041.56915,802909.194303,3930775.70013,5702066.09578,2533941.22098,1130967.1687,566837.307032,
2025,0.0,476273.812523,4144188.8981,802894.527324,3929077.41834,5699839.09159,2533014.88545,1130735.58482,566605.723151,
2026,0.0,475985.986842,4141806.89247,802875.669779,3926893.91317,5696975.80049,2531823.88264,1130437.83412,566307.972447,
2027,0.0,475730.141793,4139689.55413,802858.907518,3924953.0197,5694430.65284,2530765.21347,1130173.16682,566043.305154,
2028,0.0,475506.277375,4137836.88308,802844.240538,3923254.7379,5692203.64865,2529838.87794,1129941.58294,565811.721273,
2029,0.0,475218.451694,4135454.87745,802825.382994,3921071.23274,5689340.35754,2528647.87513,1129643.83224,565513.970569,
2030,0.0,475058.548538,4134131.54099,802814.90658,3919858.17431,5687749.64026,2527986.20689,1129478.41518,565348.553511,
2031,0.0,474738.742227,4131484.86806,802793.953753,3917432.05746,5684568.2057,2526662.87043,1129147.58107,565017.719396,
2032,0.0,474450.916546,4129102.86243,802775.096208,3915248.5523,5681704.9146,2525471.86762,1128849.83036,564719.968691,
2033,0.0,474131.110234,4126456.1895,802754.143381,3912822.43545,5678523.48004,2524148.53115,1128518.99625,564389.134576,
2034,0.0,473811.303923,4123809.51658,802733.190554,3910396.3186,5675342.04548,2522825.19469,1128188.16213,564058.30046,
2035,0.0,473587.439504,4121956.84553,802718.523574,3908698.03681,5673115.04129,2521898.85917,1127956.57825,563826.716579,
2036,0.0,473235.652561,4119045.50531,802695.475464,3906029.30828,5669615.46327,2520443.18906,1127592.66072,563462.799052,
2037,0.0,473043.768774,4117457.50155,802682.903768,3904573.63817,5667706.60253,2519649.18718,1127394.16025,563264.298582,
2038,0.0,472691.981831,4114546.16134,802659.855658,3901904.90963,5664207.02452,2518193.51707,1127030.24272,562900.381055,
2039,0.0,472436.136782,4112428.823,802643.093396,3899964.01615,5661661.87687,2517134.8479,1126765.57543,562635.713762,
2040,0.0,472084.349839,4109517.48278,802620.045286,3897295.28762,5658162.29885,2515679.17779,1126401.6579,562271.796235,
2041,0.0,472084.349839,4109517.48278,802620.045286,3897295.28762,5658162.29885,2515679.17779,1126401.6579,562271.796235,
2042,0.0,472084.349839,4109517.48278,802620.045286,3897295.28762,5658162.29885,2515679.17779,1126401.6579,562271.796235,
2043,0.0,472084.349839,4109517.48278,802620.045286,3897295.28762,5658162.29885,2515679.17779,1126401.6579,562271.796235,
2044,0.0,472084.349839,4109517.48278,802620.045286,3897295.28762,5658162.29885,2515679.17779,1126401.6579,562271.796235,
2045,0.0,472084.349839,4109517.48278,802620.045286,3897295.28762,5658162.29885,2515679.17779,1126401.6579,562271.796235,
2046,0.0,472084.349839,4109517.48278,802620.045286,3897295.28762,5658162.29885,2515679.17779,1126401.6579,562271.796235,
2047,0.0,472084.349839,4109517.48278,802620.045286,3897295.28762,5658162.29885,2515679.17779,1126401.6579,562271.796235,
2048,0.0,472084.349839,4109517.48278,802620.045286,3897295.28762,5658162.29885,2515679.17779,1126401.6579,562271.796235,
2049,0.0,472084.349839,4109517.48278,802620.045286,3897295.28762,5658162.29885,2515679.17779,1126401.6579,562271.796235,
2050,0.0,472084.349839,4109517.48278,802620.045286,3897295.28762,5658162.29885,2515679.17779,1126401.6579,562271.796235,
