year,annotation,diesel generation efficiency
2002,,13.86
2003,,13.93
2004,,14.25
2005,,13.92
2006,,14.08
2007,,13.23
2008,,12.51
2009,,12.78
2010,,12.54
2011,,12.35
2012,,12.76
2013,,13.78
2016,start of forecast,12.96
2017,,12.96
2018,,12.96
2019,,12.96
2020,,12.96
2021,,12.96
2022,,12.96
2023,,12.96
2024,,12.96
2025,,12.96
2026,,12.96
2027,,12.96
2028,,12.96
2029,,12.96
2030,,12.96
2031,,12.96
2032,,12.96
2033,,12.96
2034,,12.96
2035,,12.96
2036,,12.96
2037,,12.96
2038,,12.96
2039,,12.96
2040,,12.96
