year,annotation,Average Load
2003,,126.0
2004,,131.0
2005,,122.0
2006,,137.0
2007,,134.0
2008,,132.0
2009,,137.0
2010,,132.0
2011,,132.0
2012,,134.0
2013,,141.0
2014,start of forecast,138.0
2015,,138.0
2016,,139.0
2017,,138.0
2018,,139.0
2019,,139.0
2020,,139.0
2021,,139.0
2022,,139.0
2023,,140.0
2024,,140.0
2025,,140.0
2026,,141.0
2027,,141.0
2028,,141.0
2029,,141.0
2030,,141.0
2031,,141.0
2032,,141.0
2033,,141.0
2034,,141.0
2035,,141.0
2036,,142.0
2037,,142.0
2038,,142.0
2039,,142.0
2040,,142.0
