year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,7830.53101605,5089.84516043
2018,7822.27081568,5084.47603019
2019,7815.76453451,5080.24694743
2020,7818.61115737,5082.09725229
2021,7815.66798239,5080.18418855
2022,7799.63233987,5069.76102092
2023,7776.42653712,5054.67724913
2024,7761.61411009,5045.04917156
2025,7750.4972987,5037.82324415
2026,7745.54051259,5034.60133319
2027,7742.03334005,5032.32167103
2028,7745.93337984,5034.8566969
2029,7744.67420702,5034.03823456
2030,7738.87641865,5030.26967212
2031,7723.37947038,5020.19665574
