year,Base case diesel consumed,Modeled solar power (pv)
2016,98406.1915531,97505.9805211
2017,98329.0469533,97436.0376095
2018,98483.3361529,97597.4708839
2019,98637.6253526,97758.8470058
2020,98560.4807528,97688.7326327
2021,98637.6253526,97772.8512175
2022,98869.0591521,98011.2032101
2023,99331.926751,98480.9336566
2024,99563.3605505,98719.1754008
2025,99794.79435,98957.3626815
2026,99871.9389498,99041.2067347
2027,99949.0835497,99124.9971922
2028,99871.9389498,99054.4452832
2029,99871.9389498,99060.9852326
2030,100026.228149,99221.762062
2031,100257.661949,99459.6315902
2032,100334.806549,99543.1604329
2033,100489.095748,99703.7828014
2034,100489.095748,99710.065305
2035,100489.095748,99716.2975486
