year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,10147.08,1196195.0,0.0,1196195.0
2004,,10147.08,1213291.0,0.0,1213291.0
2005,,10147.08,1188204.0,0.0,1188204.0
2006,,10147.08,1265119.0,0.0,1265119.0
2007,,10147.08,1275477.0,0.0,1275477.0
2008,,10147.08,1233880.0,0.0,1233880.0
2009,,10147.08,1274557.0,0.0,1274557.0
2010,,10147.08,1240915.0,0.0,1240915.0
2011,,10147.08,1228676.0,0.0,1228676.0
2012,,10147.08,1243772.0,0.0,1243772.0
2013,,10147.08,1301327.0,0.0,1301327.0
2014,start of forecast,10147.08,1278000.0,9393.0,1268607.0
2015,,10147.08,1283000.0,9393.0,1273607.0
2016,,10147.08,1285000.0,9393.0,1275607.0
2017,,10147.08,1284000.0,9393.0,1274607.0
2018,,10147.08,1286000.0,9393.0,1276607.0
2019,,10147.08,1288000.0,9393.0,1278607.0
2020,,10147.08,1287000.0,9393.0,1277607.0
2021,,10147.08,1288000.0,9393.0,1278607.0
2022,,10147.08,1291000.0,9393.0,1281607.0
2023,,10147.08,1297000.0,9393.0,1287607.0
2024,,10147.08,1300000.0,9393.0,1290607.0
2025,,10147.08,1303000.0,9393.0,1293607.0
2026,,10147.08,1304000.0,9393.0,1294607.0
2027,,10147.08,1305000.0,9393.0,1295607.0
2028,,10147.08,1304000.0,9393.0,1294607.0
2029,,10147.08,1304000.0,9393.0,1294607.0
2030,,10147.08,1306000.0,9393.0,1296607.0
2031,,10147.08,1309000.0,9393.0,1299607.0
2032,,10147.08,1310000.0,9393.0,1300607.0
2033,,10147.08,1312000.0,9393.0,1302607.0
2034,,10147.08,1312000.0,9393.0,1302607.0
2035,,10147.08,1312000.0,9393.0,1302607.0
2036,,10147.08,1313000.0,9393.0,1303607.0
2037,,10147.08,1313000.0,9393.0,1303607.0
2038,,10147.08,1313000.0,9393.0,1303607.0
2039,,10147.08,1315000.0,9393.0,1305607.0
2040,,10147.08,1314000.0,9393.0,1304607.0
