year,Base case cost,Modeled non-residential energy efficiency
2017,1855376.14141,1930703.4275
2018,1958029.39522,2027441.91386
2019,2095969.70503,2157434.25492
2020,2163335.90284,2220918.8866
2021,2208246.70138,2263241.97438
2022,2240325.8432,2293472.75137
2023,2265989.15665,2317657.37296
2024,2285236.64174,2335795.83916
2025,2307692.04101,2356957.38305
2026,2336563.26865,2384165.08234
2027,2359018.66792,2405326.62623
2028,2378266.15301,2423465.09243
2029,2403929.46646,2447649.71402
2030,2419969.03737,2462765.10251
2031,2448840.265,2489972.8018
